tourney_id,tourney_name,surface,tourney_date
2020-M-DC-2020-WG1-PO-MEX-FIN-01,Davis Cup WG1 PO: MEX vs FIN,Clay,20200306
2020-M-DC-2020-WG2-PO-PHI-GRE-01,Davis Cup WG2 PO: PHI vs GRE,Clay,20200306
2020-0424,New York,Hard,20200210
2020-7434,Sofia,Hard,20201109
2020-9408,Sardinia,Clay,20201012
2020-M-DC-2020-QLS-M-JPN-ECU-01,Davis Cup QLS R1: JPN vs ECU,Hard,20200306
2020-M-DC-2020-WG2-PO-SYR-ZIM-01,Davis Cup WG2 PO: SYR vs ZIM,Hard,20200306
2020-M-DC-2020-WG1-PO-TUR-ISR-01,Davis Cup WG1 PO: TUR vs ISR,Clay,20200306
2020-M004,Acapulco,Hard,20200224
2020-0375,Montpellier,Hard,20200203
2020-0451,Doha,Hard,20200106
2020-0414,Hamburg,Clay,20200921
2020-M-DC-2020-QLS-M-GER-BLR-01,Davis Cup QLS R1: GER vs BLR,Hard,20200306
2020-520,Roland Garros,Clay,20200928
2020-M-DC-2020-WG2-PO-POL-HKG-01,Davis Cup WG2 PO: POL vs HKG,Hard,20200306
2020-0496,Marseille,Hard,20200217
2020-M-DC-2020-WG2-PO-INA-KEN-01,Davis Cup WG2 PO: INA vs KEN,Hard,20200306
2020-M024,Cincinnati Masters,Hard,20200824
2020-0568,St Petersburg,Hard,20201012
2020-580,Australian Open,Hard,20200120
2020-M-DC-2020-QLS-M-ARG-COL-01,Davis Cup QLS R1: ARG vs COL,Clay,20200306
2020-0301,Auckland,Hard,20200113
2020-M-DC-2020-WG2-PO-GEO-EST-01,Davis Cup WG2 PO: GEO vs EST,Hard,20200306
2020-M-DC-2020-WG2-PO-GUA-TUN-01,Davis Cup WG2 PO: GUA vs TUN,Hard,20200306
2020-M-DC-2020-WG1-PO-LTU-POR-01,Davis Cup WG1 PO: LTU vs POR,Hard,20200306
2020-M-DC-2020-QLS-M-BEL-HUN-01,Davis Cup QLS R1: BEL vs HUN,Clay,20200306
2020-M-DC-2020-WG2-PO-ESA-JAM-01,Davis Cup WG2 PO: ESA vs JAM,Hard,20200306
2020-0407,Rotterdam,Hard,20200210
2020-M-DC-2020-WG2-PO-MAR-VIE-01,Davis Cup WG2 PO: MAR vs VIE,Clay,20200306
2020-8996,Santiago,Clay,20200224
2020-0319,Kitzbuhel,Clay,20200907
2020-7485,Antwerp,Hard,20201019
2020-M-DC-2020-QLS-M-CZE-SVK-01,Davis Cup QLS R1: CZE vs SVK,Clay,20200306
2020-M-DC-2020-QLS-M-SWE-CHI-01,Davis Cup QLS R1: SWE vs CHI,Hard,20200306
2020-M-DC-2020-WG1-PO-LBN-THA-01,Davis Cup WG1 PO: LBN vs THA,Clay,20200306
2020-0891,Pune,Hard,20200203
2020-9404,Cologne 1,Hard,20201012
2020-8888,Atp Cup,Hard,20200106
2020-560,Us Open,Hard,20200831
2020-M-DC-2020-WG1-PO-NOR-BAR-01,Davis Cup WG1 PO: NOR vs BAR,Hard,20200306
2020-M009,Rome Masters,Clay,20200914
2020-9410,Nur-Sultan,Hard,20201026
2020-M-DC-2020-WG1-PO-PAK-SLO-01,Davis Cup WG1 PO: PAK vs SLO,Grass,20200306
2020-0337,Vienna,Hard,20201026
2020-6932,Rio De Janeiro,Clay,20200217
2020-9406,Cologne 2,Hard,20201019
2020-M-DC-2020-WG1-PO-UKR-TPE-01,Davis Cup WG1 PO: UKR vs TPE,Hard,20200306
2020-M-DC-2020-QLS-M-AUS-BRA-01,Davis Cup QLS R1: AUS vs BRA,Hard,20200306
2020-M-DC-2020-QLS-M-USA-UZB-01,Davis Cup QLS R1: USA vs UZB,Hard,20200306
2020-0352,Paris Masters,Hard,20201102
2020-0499,Delray Beach,Hard,20200217
2020-M-DC-2020-WG1-PO-BIH-RSA-01,Davis Cup WG1 PO: BIH vs RSA,Hard,20200306
2020-M-DC-2020-WG1-PO-BOL-DOM-01,Davis Cup WG1 PO: BOL vs DOM,Clay,20200306
2020-M-DC-2020-QLS-M-KAZ-NED-01,Davis Cup QLS R1: KAZ vs NED,Hard,20200306
2020-M056,Adelaide,Hard,20200113
2020-M-DC-2020-WG2-PO-LAT-EGY-01,Davis Cup WG2 PO: LAT vs EGY,Hard,20200306
2020-M-DC-2020-QLS-M-AUT-URU-01,Davis Cup QLS R1: AUT vs URU,Hard,20200306
2020-M-DC-2020-WG2-PO-PAR-SRI-01,Davis Cup WG2 PO: PAR vs SRI,Clay,20200306
2020-M-DC-2020-QLS-M-CRO-IND-01,Davis Cup QLS R1: CRO vs IND,Hard,20200306
2020-0605,Tour Finals,Hard,20201116
2020-0495,Dubai,Hard,20200224
2020-M-DC-2020-WG2-PO-DEN-PUR-01,Davis Cup WG2 PO: DEN vs PUR,Hard,20200306
2020-M-DC-2020-WG2-PO-CRC-BUL-01,Davis Cup WG2 PO: CRC vs BUL,Hard,20200306
2020-M-DC-2020-WG1-PO-VEN-NZL-01,Davis Cup WG1 PO: VEN vs NZL,Hard,20200306
2020-0506,Buenos Aires,Clay,20200210
2020-9158,Cordoba,Clay,20200203
2020-M-DC-2020-WG1-PO-PER-SUI-01,Davis Cup WG1 PO: PER vs SUI,Clay,20200306
